c304-006.ls6.tacc.utexas.edu
/work/06536/qezlou/hetdex/packs/private-het-data/scripts
Sun Sep  7 14:17:05 CDT 2025
Fibers | 09/07/2025 02:17:08 PM | INFO  |  loading shotids from /work/06536/qezlou/hetdex/data/hdr5_shotid_list.h5
Fibers | 09/07/2025 02:17:10 PM | INFO  |  379 shotids remaining to compute covariance for
Fibers | 09/07/2025 02:17:10 PM | INFO  |  working on shotid: 20240313022
Fibers | 09/07/2025 02:17:35 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:17:35 PM | INFO  |  Good fibers: 97545
Fibers | 09/07/2025 02:17:38 PM | INFO  |  progress 430/808
Fibers | 09/07/2025 02:17:38 PM | INFO  |  saving cov in /work/06536/qezlou/hetdex/data/cov_calfib_ffsky.h5
Fibers | 09/07/2025 02:17:41 PM | INFO  |  working on shotid: 20240313023
Fibers | 09/07/2025 02:18:27 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:18:27 PM | INFO  |  Good fibers: 97548
Fibers | 09/07/2025 02:18:30 PM | INFO  |  working on shotid: 20240314016
Fibers | 09/07/2025 02:18:44 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:18:44 PM | INFO  |  Good fibers: 100230
Fibers | 09/07/2025 02:18:47 PM | INFO  |  working on shotid: 20240314017
Fibers | 09/07/2025 02:19:13 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:19:13 PM | INFO  |  Good fibers: 99897
Fibers | 09/07/2025 02:19:16 PM | INFO  |  working on shotid: 20240314018
Fibers | 09/07/2025 02:19:29 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:19:29 PM | INFO  |  Good fibers: 98496
Fibers | 09/07/2025 02:19:32 PM | INFO  |  working on shotid: 20240314019
Fibers | 09/07/2025 02:20:02 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:20:02 PM | INFO  |  Good fibers: 97545
Fibers | 09/07/2025 02:20:05 PM | INFO  |  working on shotid: 20240314020
Fibers | 09/07/2025 02:20:28 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:20:28 PM | INFO  |  Good fibers: 98217
Fibers | 09/07/2025 02:20:31 PM | INFO  |  working on shotid: 20240314021
Fibers | 09/07/2025 02:20:55 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:20:55 PM | INFO  |  Good fibers: 98889
Fibers | 09/07/2025 02:20:58 PM | INFO  |  working on shotid: 20240314022
Fibers | 09/07/2025 02:21:27 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:21:27 PM | INFO  |  Good fibers: 98073
Fibers | 09/07/2025 02:21:29 PM | INFO  |  working on shotid: 20240314023
Fibers | 09/07/2025 02:21:58 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:21:58 PM | INFO  |  Good fibers: 87799
Fibers | 09/07/2025 02:22:00 PM | INFO  |  working on shotid: 20240314025
Fibers | 09/07/2025 02:22:23 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:22:23 PM | INFO  |  Good fibers: 95205
Fibers | 09/07/2025 02:22:26 PM | INFO  |  progress 440/808
Fibers | 09/07/2025 02:22:26 PM | INFO  |  saving cov in /work/06536/qezlou/hetdex/data/cov_calfib_ffsky.h5
Fibers | 09/07/2025 02:22:30 PM | INFO  |  working on shotid: 20240314026
Fibers | 09/07/2025 02:22:55 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:22:55 PM | INFO  |  Good fibers: 94989
Fibers | 09/07/2025 02:22:57 PM | INFO  |  working on shotid: 20240315014
Fibers | 09/07/2025 02:23:26 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:23:26 PM | INFO  |  Good fibers: 98220
Fibers | 09/07/2025 02:23:29 PM | INFO  |  working on shotid: 20240315015
Fibers | 09/07/2025 02:23:59 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:23:59 PM | INFO  |  Good fibers: 99561
Fibers | 09/07/2025 02:24:01 PM | INFO  |  working on shotid: 20240315016
Fibers | 09/07/2025 02:24:55 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:24:56 PM | INFO  |  Good fibers: 97884
Fibers | 09/07/2025 02:24:58 PM | INFO  |  working on shotid: 20240315018
Fibers | 09/07/2025 02:25:25 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:25:25 PM | INFO  |  Good fibers: 99558
Fibers | 09/07/2025 02:25:27 PM | INFO  |  working on shotid: 20240315019
Fibers | 09/07/2025 02:25:52 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:25:52 PM | INFO  |  Good fibers: 98892
Fibers | 09/07/2025 02:25:55 PM | INFO  |  working on shotid: 20240328006
Fibers | 09/07/2025 02:26:20 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:26:20 PM | INFO  |  Good fibers: 86361
Fibers | 09/07/2025 02:26:23 PM | INFO  |  working on shotid: 20240328007
Fibers | 09/07/2025 02:26:53 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:26:53 PM | INFO  |  Good fibers: 91854
Fibers | 09/07/2025 02:26:55 PM | INFO  |  working on shotid: 20240328008
Fibers | 09/07/2025 02:27:20 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:27:20 PM | INFO  |  Good fibers: 94715
Fibers | 09/07/2025 02:27:22 PM | INFO  |  working on shotid: 20240329007
Fibers | 09/07/2025 02:27:48 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:27:48 PM | INFO  |  Good fibers: 99897
Fibers | 09/07/2025 02:27:51 PM | INFO  |  progress 450/808
Fibers | 09/07/2025 02:27:51 PM | INFO  |  saving cov in /work/06536/qezlou/hetdex/data/cov_calfib_ffsky.h5
Fibers | 09/07/2025 02:27:55 PM | INFO  |  working on shotid: 20240330006
Fibers | 09/07/2025 02:28:21 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:28:21 PM | INFO  |  Good fibers: 99558
Fibers | 09/07/2025 02:28:24 PM | INFO  |  working on shotid: 20240331012
Fibers | 09/07/2025 02:28:49 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:28:49 PM | INFO  |  Good fibers: 97551
Fibers | 09/07/2025 02:28:52 PM | INFO  |  working on shotid: 20240402006
Fibers | 09/07/2025 02:29:20 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:29:20 PM | INFO  |  Good fibers: 95208
Fibers | 09/07/2025 02:29:22 PM | INFO  |  working on shotid: 20240402007
Fibers | 09/07/2025 02:29:47 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:29:47 PM | INFO  |  Good fibers: 80373
Fibers | 09/07/2025 02:29:49 PM | INFO  |  working on shotid: 20240402008
Fibers | 09/07/2025 02:30:16 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:30:16 PM | INFO  |  Good fibers: 98556
Fibers | 09/07/2025 02:30:19 PM | INFO  |  working on shotid: 20240403007
Fibers | 09/07/2025 02:30:45 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:30:45 PM | INFO  |  Good fibers: 98553
Fibers | 09/07/2025 02:30:48 PM | INFO  |  working on shotid: 20240403008
Fibers | 09/07/2025 02:31:14 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:31:14 PM | INFO  |  Good fibers: 79298
Fibers | 09/07/2025 02:31:16 PM | INFO  |  working on shotid: 20240403015
Fibers | 09/07/2025 02:31:44 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:31:44 PM | INFO  |  Good fibers: 100236
Fibers | 09/07/2025 02:31:47 PM | INFO  |  working on shotid: 20240403016
Fibers | 09/07/2025 02:32:12 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:32:12 PM | INFO  |  Good fibers: 93522
Fibers | 09/07/2025 02:32:15 PM | INFO  |  working on shotid: 20240403017
Fibers | 09/07/2025 02:32:42 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:32:42 PM | INFO  |  Good fibers: 99561
Fibers | 09/07/2025 02:32:45 PM | INFO  |  progress 460/808
