v320-024.ls6.tacc.utexas.edu
/work/06536/qezlou/hetdex/packs/private-het-data/scripts
Tue Sep  9 18:55:10 CDT 2025
WARNING!!!! CANNOT IMPORT hetdex_api.flux_limits.shot_sensitivity ShotSensitivity:  No module named 'pyhetdex'
Fibers | 09/09/2025 06:55:29 PM | INFO  |  loading shotids from /work/06536/qezlou/hetdex/data/hdr5_shotid_list.h5
Fibers | 09/09/2025 06:55:29 PM | INFO  |  808 shotids remaining to compute covariance for
Fibers | 09/09/2025 06:55:29 PM | INFO  |  working on shotid: 20230904011
Fibers | 09/09/2025 06:55:50 PM | INFO  |  Total fibers: 102480
Fibers | 09/09/2025 06:55:51 PM | INFO  |  Good fibers: 96528, Fraction of good pixels 0.9716639123495165
Fibers | 09/09/2025 06:55:57 PM | INFO  |   Remaining fraction after removing continuum sources 0.6635173213989723 
Fibers | 09/09/2025 06:55:59 PM | INFO  |  progress 1/808
Fibers | 09/09/2025 06:55:59 PM | INFO  |  saving cov in /work/06536/qezlou/hetdex/data/cov_calfib_ffsky_rmvd_bad_fibs_cont.h5
Fibers | 09/09/2025 06:55:59 PM | INFO  |  working on shotid: 20230904012
Fibers | 09/09/2025 06:56:24 PM | INFO  |  Total fibers: 102480
Fibers | 09/09/2025 06:56:26 PM | INFO  |  Good fibers: 96528, Fraction of good pixels 0.9714000602861866
Fibers | 09/09/2025 06:56:32 PM | INFO  |   Remaining fraction after removing continuum sources 0.5960964694181999 
Fibers | 09/09/2025 06:56:34 PM | INFO  |  working on shotid: 20230905011
Fibers | 09/09/2025 06:57:03 PM | INFO  |  Total fibers: 102480
Fibers | 09/09/2025 06:57:04 PM | INFO  |  Good fibers: 98535, Fraction of good pixels 0.9716381573056866
Fibers | 09/09/2025 06:57:11 PM | INFO  |   Remaining fraction after removing continuum sources 0.6941391383772264 
Fibers | 09/09/2025 06:57:13 PM | INFO  |  working on shotid: 20230906011
Fibers | 09/09/2025 06:57:39 PM | INFO  |  Total fibers: 102480
Fibers | 09/09/2025 06:57:41 PM | INFO  |  Good fibers: 98202, Fraction of good pixels 0.971533097525949
Fibers | 09/09/2025 06:57:48 PM | INFO  |   Remaining fraction after removing continuum sources 0.5419441559235046 
Fibers | 09/09/2025 06:57:49 PM | INFO  |  working on shotid: 20230909009
Fibers | 09/09/2025 06:58:16 PM | INFO  |  Total fibers: 102480
Fibers | 09/09/2025 06:58:18 PM | INFO  |  Good fibers: 95108, Fraction of good pixels 0.9716313768391407
Fibers | 09/09/2025 06:58:24 PM | INFO  |   Remaining fraction after removing continuum sources 0.5979728308869916 
Fibers | 09/09/2025 06:58:26 PM | INFO  |  working on shotid: 20230910017
Fibers | 09/09/2025 06:58:50 PM | INFO  |  Total fibers: 102480
Fibers | 09/09/2025 06:58:51 PM | INFO  |  Good fibers: 96531, Fraction of good pixels 0.971672012539713
Fibers | 09/09/2025 06:58:58 PM | INFO  |   Remaining fraction after removing continuum sources 0.4451316157503807 
Fibers | 09/09/2025 06:58:59 PM | INFO  |  working on shotid: 20230910019
Fibers | 09/09/2025 06:59:22 PM | INFO  |  Total fibers: 102480
Fibers | 09/09/2025 06:59:23 PM | INFO  |  Good fibers: 95972, Fraction of good pixels 0.9716423383300181
Fibers | 09/09/2025 06:59:30 PM | INFO  |   Remaining fraction after removing continuum sources 0.5395740424290418 
Fibers | 09/09/2025 06:59:31 PM | INFO  |  working on shotid: 20230911011
Fibers | 09/09/2025 06:59:56 PM | INFO  |  Total fibers: 102480
Fibers | 09/09/2025 06:59:57 PM | INFO  |  Good fibers: 95520, Fraction of good pixels 0.9714640609741112
Fibers | 09/09/2025 07:00:04 PM | INFO  |   Remaining fraction after removing continuum sources 0.5539258793969849 
Fibers | 09/09/2025 07:00:05 PM | INFO  |  working on shotid: 20230911020
Fibers | 09/09/2025 07:00:31 PM | INFO  |  Total fibers: 102480
Fibers | 09/09/2025 07:00:33 PM | INFO  |  Good fibers: 97226, Fraction of good pixels 0.9716691902089841
Fibers | 09/09/2025 07:00:39 PM | INFO  |   Remaining fraction after removing continuum sources 0.4980663608499784 
Fibers | 09/09/2025 07:00:40 PM | INFO  |  working on shotid: 20230911021
Fibers | 09/09/2025 07:01:05 PM | INFO  |  Total fibers: 102480
Fibers | 09/09/2025 07:01:06 PM | INFO  |  Good fibers: 96864, Fraction of good pixels 0.9715204129692484
Fibers | 09/09/2025 07:01:13 PM | INFO  |   Remaining fraction after removing continuum sources 0.5798439048562933 
Fibers | 09/09/2025 07:01:14 PM | INFO  |  working on shotid: 20230914007
Fibers | 09/09/2025 07:01:41 PM | INFO  |  Total fibers: 102480
Fibers | 09/09/2025 07:01:42 PM | INFO  |  Good fibers: 98202, Fraction of good pixels 0.9716444038326485
Fibers | 09/09/2025 07:01:49 PM | INFO  |   Remaining fraction after removing continuum sources 0.25127797804525365 
