c308-006.ls6.tacc.utexas.edu
/work/06536/qezlou/hetdex/packs/private-het-data/scripts
Wed Sep 10 10:08:35 CDT 2025
WARNING!!!! CANNOT IMPORT hetdex_api.flux_limits.shot_sensitivity ShotSensitivity:  No module named 'pyhetdex'
Fibers | 09/10/2025 10:08:41 AM | INFO  |  loading shotids from /work/06536/qezlou/hetdex/data/hdr5_shotid_list.h5
Fibers | 09/10/2025 10:08:46 AM | INFO  |  616 shotids remaining to compute covariance for
Fibers | 09/10/2025 10:08:46 AM | INFO  |  working on shotid: 20231204011
Fibers | 09/10/2025 10:09:14 AM | INFO  |  Total fibers: 103824
Fibers | 09/10/2025 10:09:15 AM | INFO  |  Good fibers: 95411, Fraction of good pixels 0.9716619207558408
Fibers | 09/10/2025 10:09:20 AM | INFO  |   Remaining fraction after removing continuum sources 0.4446237855173932 
Fibers | 09/10/2025 10:09:21 AM | INFO  |  progress 193/808
Fibers | 09/10/2025 10:09:21 AM | INFO  |  saving cov in /work/06536/qezlou/hetdex/data/cov_calfib_ffsky_rmvd_bad_fibs_cont.h5
Fibers | 09/10/2025 10:09:23 AM | INFO  |  working on shotid: 20231204012
Fibers | 09/10/2025 10:09:47 AM | INFO  |  Total fibers: 103824
Fibers | 09/10/2025 10:09:49 AM | INFO  |  Good fibers: 98547, Fraction of good pixels 0.9716960603593378
Fibers | 09/10/2025 10:09:54 AM | INFO  |   Remaining fraction after removing continuum sources 0.5943661400144093 
Fibers | 09/10/2025 10:09:56 AM | INFO  |  working on shotid: 20231204013
Fibers | 09/10/2025 10:10:22 AM | INFO  |  Total fibers: 103824
Fibers | 09/10/2025 10:10:23 AM | INFO  |  Good fibers: 96037, Fraction of good pixels 0.9716933121376201
Fibers | 09/10/2025 10:10:29 AM | INFO  |   Remaining fraction after removing continuum sources 0.5727271780667867 
Fibers | 09/10/2025 10:10:30 AM | INFO  |  working on shotid: 20231204014
Fibers | 09/10/2025 10:10:54 AM | INFO  |  Total fibers: 103824
Fibers | 09/10/2025 10:10:55 AM | INFO  |  Good fibers: 101217, Fraction of good pixels 0.9714421150963432
Fibers | 09/10/2025 10:11:01 AM | INFO  |   Remaining fraction after removing continuum sources 0.5919855360265568 
Fibers | 09/10/2025 10:11:03 AM | INFO  |  working on shotid: 20231204015
Fibers | 09/10/2025 10:11:26 AM | INFO  |  Total fibers: 103824
Fibers | 09/10/2025 10:11:28 AM | INFO  |  Good fibers: 99879, Fraction of good pixels 0.9715611971566677
Fibers | 09/10/2025 10:11:33 AM | INFO  |   Remaining fraction after removing continuum sources 0.6231840527037715 
Fibers | 09/10/2025 10:11:35 AM | INFO  |  working on shotid: 20231205010
Fibers | 09/10/2025 10:12:01 AM | INFO  |  Total fibers: 103824
Fibers | 09/10/2025 10:12:02 AM | INFO  |  Good fibers: 99876, Fraction of good pixels 0.9717538744181782
Fibers | 09/10/2025 10:12:08 AM | INFO  |   Remaining fraction after removing continuum sources 0.5849253073811527 
Fibers | 09/10/2025 10:12:09 AM | INFO  |  working on shotid: 20231205011
Fibers | 09/10/2025 10:12:35 AM | INFO  |  Total fibers: 103824
Fibers | 09/10/2025 10:12:36 AM | INFO  |  Good fibers: 95862, Fraction of good pixels 0.9717277386113838
Fibers | 09/10/2025 10:12:42 AM | INFO  |   Remaining fraction after removing continuum sources 0.5381068619473827 
Fibers | 09/10/2025 10:12:43 AM | INFO  |  working on shotid: 20231205012
Fibers | 09/10/2025 10:13:10 AM | INFO  |  Total fibers: 103824
Fibers | 09/10/2025 10:13:11 AM | INFO  |  Good fibers: 96195, Fraction of good pixels 0.9717948841447984
Fibers | 09/10/2025 10:13:17 AM | INFO  |   Remaining fraction after removing continuum sources 0.623223660273403 
Fibers | 09/10/2025 10:13:18 AM | INFO  |  working on shotid: 20231205013
Fibers | 09/10/2025 10:13:45 AM | INFO  |  Total fibers: 103824
Fibers | 09/10/2025 10:13:46 AM | INFO  |  Good fibers: 97533, Fraction of good pixels 0.9717718944903591
Fibers | 09/10/2025 10:13:52 AM | INFO  |   Remaining fraction after removing continuum sources 0.658043944100971 
Fibers | 09/10/2025 10:13:54 AM | INFO  |  working on shotid: 20231205014
Fibers | 09/10/2025 10:14:20 AM | INFO  |  Total fibers: 103824
Fibers | 09/10/2025 10:14:21 AM | INFO  |  Good fibers: 100548, Fraction of good pixels 0.9717341727948602
Fibers | 09/10/2025 10:14:27 AM | INFO  |   Remaining fraction after removing continuum sources 0.6095795043163464 
Fibers | 09/10/2025 10:14:29 AM | INFO  |  working on shotid: 20231205015
Fibers | 09/10/2025 10:14:56 AM | INFO  |  Total fibers: 103824
Fibers | 09/10/2025 10:14:57 AM | INFO  |  Good fibers: 96882, Fraction of good pixels 0.9718086480875234
Fibers | 09/10/2025 10:15:02 AM | INFO  |   Remaining fraction after removing continuum sources 0.5827191841621767 
Fibers | 09/10/2025 10:15:04 AM | INFO  |  progress 203/808
Fibers | 09/10/2025 10:15:04 AM | INFO  |  saving cov in /work/06536/qezlou/hetdex/data/cov_calfib_ffsky_rmvd_bad_fibs_cont.h5
Fibers | 09/10/2025 10:15:05 AM | INFO  |  working on shotid: 20231205016
Fibers | 09/10/2025 10:15:30 AM | INFO  |  Total fibers: 103824
Fibers | 09/10/2025 10:15:31 AM | INFO  |  Good fibers: 96192, Fraction of good pixels 0.971776935591494
Fibers | 09/10/2025 10:15:37 AM | INFO  |   Remaining fraction after removing continuum sources 0.6702116600133067 
Fibers | 09/10/2025 10:15:38 AM | INFO  |  working on shotid: 20231205017
